,value,timestamp
2018-10-18 07:14:30.299,0.2,1539846870.299
2018-10-18 07:17:08.876,0.386,1539847028.876
2018-10-18 07:17:14.841,0.4,1539847034.841
2018-10-18 07:17:28.960,0.386,1539847048.96
2018-10-18 07:17:29.468,0.0,1539847049.468
2018-10-17 09:25:25.850,0.386,1539768325.85
2018-10-17 09:25:31.964,0.4,1539768331.964
2018-10-17 09:25:45.802,0.386,1539768345.802
2018-10-17 09:25:46.617,0.0,1539768346.617
2018-10-18 07:28:43.169,0.38,1539847723.169
2018-10-18 07:28:55.090,0.4,1539847735.09
2018-10-18 07:29:21.625,0.2,1539847761.625
2018-10-18 07:31:56.165,0.386,1539847916.165
2018-10-18 07:32:02.259,0.4,1539847922.259
2018-10-18 07:32:16.068,0.386,1539847936.068
2018-10-18 07:32:16.996,0.0,1539847936.996
2018-10-17 15:19:29.168,0.38,1539789569.168
2018-10-17 15:19:41.122,0.4,1539789581.122
2018-10-17 15:20:07.600,0.2,1539789607.6
2018-10-17 15:22:35.417,0.386,1539789755.417
2018-10-17 15:22:41.630,0.4,1539789761.63
2018-10-17 15:22:55.350,0.386,1539789775.35
2018-10-17 15:22:56.042,0.0,1539789776.042
2018-10-17 11:35:16.460,0.38,1539776116.46
2018-10-17 11:35:29.963,0.4,1539776129.963
2018-10-17 11:35:56.680,0.2,1539776156.68
2018-10-17 11:38:33.596,0.386,1539776313.596
2018-10-17 11:38:39.710,0.4,1539776319.71
2018-10-17 11:38:53.543,0.386,1539776333.543
2018-10-17 11:38:54.343,0.0,1539776334.343
2018-10-17 14:22:36.944,0.38,1539786156.944
2018-10-17 14:22:48.885,0.4,1539786168.885
2018-10-17 14:23:15.557,0.2,1539786195.557
2018-10-17 14:25:42.974,0.386,1539786342.974
2018-10-17 14:25:48.917,0.4,1539786348.917
2018-10-17 14:26:02.626,0.386,1539786362.626
2018-10-17 14:26:03.509,0.0,1539786363.509
2018-10-17 12:47:54.562,0.38,1539780474.562
2018-10-17 12:48:06.466,0.4,1539780486.466
2018-10-17 12:48:33.111,0.2,1539780513.111
2018-10-17 12:51:01.497,0.386,1539780661.497
2018-10-17 12:51:07.498,0.4,1539780667.498
2018-10-17 12:51:21.322,0.386,1539780681.322
2018-10-17 12:51:22.128,0.0,1539780682.128
2018-10-18 12:17:47.284,0.38,1539865067.284
2018-10-18 12:17:59.227,0.4,1539865079.227
2018-10-18 12:18:25.802,0.2,1539865105.802
2018-10-18 12:20:58.725,0.386,1539865258.725
2018-10-18 12:21:04.741,0.4,1539865264.741
2018-10-18 12:21:18.555,0.386,1539865278.555
2018-10-18 12:21:19.385,0.0,1539865279.385
2018-10-17 15:10:39.414,0.38,1539789039.414
2018-10-17 15:10:51.241,0.4,1539789051.241
2018-10-17 15:11:17.946,0.2,1539789077.946
2018-10-17 15:14:08.430,0.386,1539789248.43
2018-10-17 15:14:14.501,0.4,1539789254.501
2018-10-17 15:14:28.307,0.386,1539789268.307
2018-10-17 15:14:29.167,0.0,1539789269.167
2018-10-17 14:09:59.798,0.38,1539785399.798
2018-10-17 14:10:11.693,0.4,1539785411.693
2018-10-17 14:10:38.445,0.2,1539785438.445
2018-10-17 14:13:16.941,0.386,1539785596.941
2018-10-17 14:13:22.865,0.4,1539785602.865
2018-10-17 14:13:36.585,0.386,1539785616.585
2018-10-17 14:13:37.481,0.0,1539785617.481
2018-10-17 14:18:58.022,0.38,1539785938.022
2018-10-17 14:19:09.883,0.4,1539785949.883
2018-10-17 14:19:36.519,0.2,1539785976.519
2018-10-17 14:22:04.431,0.386,1539786124.431
2018-10-17 14:22:10.534,0.4,1539786130.534
2018-10-17 14:22:24.244,0.386,1539786144.244
2018-10-17 14:22:25.054,0.0,1539786145.054
2018-10-18 06:24:17.117,0.38,1539843857.117
2018-10-18 06:24:29.048,0.4,1539843869.048
2018-10-18 06:24:55.737,0.2,1539843895.737
2018-10-18 06:27:21.467,0.386,1539844041.467
2018-10-18 06:27:27.680,0.4,1539844047.68
2018-10-18 06:27:41.672,0.386,1539844061.672
2018-10-18 06:27:42.279,0.0,1539844062.279
2018-10-19 12:25:52.295,0.38,1539951952.295
2018-10-19 12:26:04.045,0.4,1539951964.045
2018-10-19 12:26:30.770,0.2,1539951990.77
2018-10-19 12:29:32.328,0.386,1539952172.328
2018-10-19 12:29:38.450,0.4,1539952178.45
2018-10-19 12:29:52.246,0.386,1539952192.246
2018-10-19 12:29:52.938,0.0,1539952192.938
2018-10-18 13:47:35.927,0.38,1539870455.927
2018-10-18 13:47:47.796,0.4,1539870467.796
2018-10-18 13:48:14.423,0.2,1539870494.423
2018-10-18 13:53:53.980,0.386,1539870833.98
2018-10-18 13:54:00.100,0.4,1539870840.1
2018-10-18 13:54:13.900,0.386,1539870853.9
2018-10-18 13:54:14.736,0.0,1539870854.736
2018-10-19 13:22:21.323,0.38,1539955341.323
2018-10-19 13:22:33.288,0.4,1539955353.288
2018-10-19 13:22:59.694,0.2,1539955379.694
2018-10-19 13:25:36.404,0.386,1539955536.404
2018-10-19 13:25:42.513,0.4,1539955542.513
2018-10-19 13:25:56.219,0.386,1539955556.219
2018-10-19 13:25:57.031,0.0,1539955557.031
2018-10-19 11:46:10.638,0.38,1539949570.638
2018-10-19 11:46:22.569,0.4,1539949582.569
2018-10-19 11:46:49.293,0.2,1539949609.293
2018-10-19 11:49:53.620,0.386,1539949793.62
2018-10-19 11:49:59.636,0.4,1539949799.636
2018-10-19 11:50:13.670,0.386,1539949813.67
2018-10-19 11:50:14.302,0.0,1539949814.302
2018-10-17 15:31:48.052,0.38,1539790308.052
2018-10-17 15:31:57.837,0.4,1539790317.837
2018-10-17 15:32:24.452,0.2,1539790344.452
2018-10-17 15:34:55.233,0.386,1539790495.233
2018-10-17 15:35:01.079,0.4,1539790501.079
2018-10-17 15:35:14.885,0.386,1539790514.885
2018-10-17 15:35:15.685,0.0,1539790515.685
2018-10-18 15:00:43.492,0.38,1539874843.492
2018-10-18 15:00:55.398,0.4,1539874855.398
2018-10-18 15:01:22.001,0.2,1539874882.001
2018-10-18 15:03:58.202,0.386,1539875038.202
2018-10-18 15:04:04.170,0.4,1539875044.17
2018-10-18 15:04:18.189,0.386,1539875058.189
2018-10-18 15:04:18.800,0.0,1539875058.8
2018-10-19 13:05:58.500,0.38,1539954358.5
2018-10-19 13:06:10.404,0.4,1539954370.404
2018-10-19 13:06:37.027,0.2,1539954397.027
2018-10-19 13:09:24.304,0.386,1539954564.304
2018-10-19 13:09:30.425,0.4,1539954570.425
2018-10-19 13:09:44.544,0.386,1539954584.544
2018-10-19 13:09:44.835,0.0,1539954584.835
2018-10-19 09:22:48.154,0.38,1539940968.154
2018-10-19 09:22:59.671,0.4,1539940979.671
2018-10-19 09:23:26.363,0.2,1539941006.363
2018-10-19 09:25:57.880,0.386,1539941157.88
2018-10-19 09:26:03.990,0.4,1539941163.99
2018-10-19 09:26:17.697,0.386,1539941177.697
2018-10-19 09:26:18.497,0.0,1539941178.497
2018-10-17 12:04:37.662,0.38,1539777877.662
2018-10-17 12:04:49.387,0.4,1539777889.387
2018-10-17 12:05:16.109,0.2,1539777916.109
2018-10-17 12:18:17.623,0.386,1539778697.623
2018-10-17 12:18:23.644,0.4,1539778703.644
2018-10-17 12:18:37.486,0.386,1539778717.486
2018-10-17 12:18:38.354,0.0,1539778718.354
2018-10-18 12:51:58.323,0.38,1539867118.323
2018-10-18 12:52:10.182,0.4,1539867130.182
2018-10-18 12:52:36.852,0.2,1539867156.852
2018-10-18 12:55:10.268,0.386,1539867310.268
2018-10-18 12:55:16.372,0.4,1539867316.372
2018-10-18 12:55:30.095,0.386,1539867330.095
2018-10-18 12:55:30.995,0.0,1539867330.995
2018-10-19 08:28:49.733,0.38,1539937729.733
2018-10-19 08:29:01.651,0.4,1539937741.651
2018-10-19 08:29:28.259,0.2,1539937768.259
2018-10-19 08:32:04.189,0.386,1539937924.189
2018-10-19 08:32:10.484,0.4,1539937930.484
2018-10-19 08:32:24.104,0.386,1539937944.104
2018-10-19 08:32:24.921,0.0,1539937944.921
2018-10-17 12:00:07.479,0.38,1539777607.479
2018-10-17 12:00:19.383,0.4,1539777619.383
2018-10-17 12:00:46.125,0.2,1539777646.125
2018-10-17 12:04:04.340,0.386,1539777844.34
2018-10-17 12:04:10.493,0.4,1539777850.493
2018-10-17 12:04:24.149,0.386,1539777864.149
2018-10-17 12:04:24.949,0.0,1539777864.949
2018-10-18 11:57:01.560,0.38,1539863821.56
2018-10-18 11:57:13.506,0.4,1539863833.506
2018-10-18 11:57:39.918,0.2,1539863859.918
2018-10-18 12:00:12.556,0.386,1539864012.556
2018-10-18 12:00:18.865,0.4,1539864018.865
2018-10-18 12:00:32.379,0.386,1539864032.379
2018-10-18 12:00:33.179,0.0,1539864033.179
2018-10-17 15:39:28.914,0.38,1539790768.914
2018-10-17 15:39:40.632,0.4,1539790780.632
2018-10-17 15:40:07.239,0.2,1539790807.239
2018-10-17 15:42:46.250,0.386,1539790966.25
2018-10-17 15:42:52.247,0.4,1539790972.247
2018-10-17 15:43:06.056,0.386,1539790986.056
2018-10-17 15:43:06.766,0.0,1539790986.766
2018-10-18 09:45:06.597,0.38,1539855906.597
2018-10-18 09:45:18.404,0.4,1539855918.404
2018-10-18 09:45:45.128,0.2,1539855945.128
2018-10-18 09:48:30.675,0.386,1539856110.675
2018-10-18 09:48:36.729,0.4,1539856116.729
2018-10-18 09:48:50.589,0.386,1539856130.589
2018-10-18 09:48:51.342,0.0,1539856131.342
2018-10-17 14:58:40.212,0.38,1539788320.212
2018-10-17 14:58:52.068,0.4,1539788332.068
2018-10-17 14:59:18.777,0.2,1539788358.777
2018-10-17 15:01:43.138,0.386,1539788503.138
2018-10-17 15:01:49.217,0.4,1539788509.217
2018-10-17 15:02:02.947,0.386,1539788522.947
2018-10-17 15:02:03.723,0.0,1539788523.723
2018-10-19 11:50:40.122,0.38,1539949840.122
2018-10-19 11:50:52.037,0.4,1539949852.037
2018-10-19 11:51:18.752,0.2,1539949878.752
2018-10-19 11:54:10.315,0.386,1539950050.315
2018-10-19 11:54:16.397,0.4,1539950056.397
2018-10-19 11:54:30.119,0.386,1539950070.119
2018-10-19 11:54:31.179,0.0,1539950071.179
2018-10-19 12:07:52.185,0.38,1539950872.185
2018-10-19 12:08:03.991,0.4,1539950883.991
2018-10-19 12:08:30.702,0.2,1539950910.702
2018-10-19 12:11:09.671,0.386,1539951069.671
