mean,std,min,20%,40%,50%,60%,80%,max,median,acfmean,acfstd,acfmedian,qstatmean,qstatstd,qstatmedian,mda,max_index,sma_sim,sma_adv,sma_sim_abs,sma_adv_abs,energy,iqr,entropy,autoreg_coeff,kurtosis,skewness,length,trace:id,qr
13.8682085683,22.6785427126,0.0,2.25708007813,4.3212890625,6.01806640625,7.91137695312,13.1494140625,100.0,6.01806640625,0.000375093773443,0.0737713976197,-0.0129723506136,8356.24735034,2805.19089874,7693.37406106,5.51089325604,646,13.8682085683,18472.4538129,13.8682085683,18472.4538129,941441.48048,7.82470703125,6.68482504418,232.399494385,5.760879290401123,2.5799537931909082,1333,MaxxTurn45/1539950787.6893477,979
13.6135638031,21.8266675924,0.0,2.50854492188,4.41650390625,6.40563964844,7.71240234375,13.1982421875,100.0,6.40563964844,0.000378214826021,0.0790570899788,-0.0122156011204,9623.12068259,2903.87688567,9337.30821982,5.26204339637,825,13.6135638031,17983.5177839,13.6135638031,17983.5177839,874334.011301,7.53173828125,6.74404016514,181.095836979,6.356783973781287,2.656304005083543,1322,MaxxTurn45/1539934495.453325,856
13.2483231394,21.6043503289,0.0,2.31323242188,4.2724609375,6.16149902344,7.71118164062,12.4597167969,100.0,6.16149902344,0.000375939849624,0.0788265999295,-0.0147333946489,9683.3545168,3533.57866573,9187.68928766,5.33896062572,140,13.2483231394,17607.0214523,13.2483231394,17607.0214523,853747.057505,7.55920410156,6.71601678452,200.375712173,6.9017629478606235,2.743320960886336,1330,MaxxTurn45/1539871593.6375291,802
13.8273951519,22.2489267307,0.0,2.40112304688,4.42749023438,6.21337890625,7.83203125,13.8244628906,100.0,6.21337890625,0.000376506024096,0.0743443701258,-0.0115202463499,8438.76413041,3039.61629142,8343.28108893,5.40230422637,269,13.8273951519,18348.9533666,13.8273951519,18348.9533666,910793.986544,7.86895751953,6.78450995392,233.714083491,6.090105851432007,2.6200372542269053,1328,MaxxTurn45/1539936672.1011436,874
13.0750873272,21.620973097,0.0,2.2607421875,4.287109375,5.77087402344,7.23754882812,12.4609375,100.0,5.77087402344,0.000384615384615,0.0757917934974,-0.0150368244538,8427.69783363,2755.23551385,7876.21289475,5.07201259444,1168,13.0750873272,16984.5384381,13.0750873272,16984.5384381,829484.235682,7.44323730469,6.72798760628,217.870693944,6.811451475228328,2.7436848992443092,1300,MaxxTurn45/1539939907.386454,913
13.5035484256,22.2110600159,0.0,2.34252929688,4.33715820312,5.908203125,7.4267578125,13.271484375,100.0,5.908203125,0.000381679389313,0.0851405904273,-0.0186712743834,11155.63015,3331.83786022,11022.6930635,5.10368439476,731,13.5035484256,17676.1448891,13.5035484256,17676.1448891,884643.548131,7.42797851562,6.70456071945,205.209699472,6.321605190534321,2.6692191569503536,1310,MaxxTurn45/1539864473.3160963,727
14.0328207134,22.4603141553,0.0,2.5146484375,4.55322265625,6.33544921875,8.0322265625,13.9221191406,100.0,6.33544921875,0.000385802469136,0.0789954744898,-0.0186143128368,9206.81173946,2862.0803908,8858.44488484,5.41587785508,40,14.0328207134,18172.5028238,14.0328207134,18172.5028238,908491.491079,7.77435302734,6.69282358017,241.148604555,6.059884188561167,2.61364064278587,1296,MaxxTurn45/1539852972.8482218,660
13.3639569216,21.6601346653,0.0,2.4560546875,4.29443359375,6.24084472656,8.02612304688,12.7429199219,100.0,6.24084472656,0.000390015600624,0.0766839346523,-0.011421345258,8402.50300436,2846.64815899,8217.32041334,5.3027642825,32,13.3639569216,17119.2288165,13.3639569216,17119.2288165,829955.02837,7.45239257812,6.64917973182,193.368492694,6.6021892900847,2.706368347785422,1282,MaxxTurn45/1539786140.0293653,520
13.6762518315,22.0218107055,0.0,2.43896484375,4.3359375,6.01806640625,7.58666992188,13.5754394531,100.0,6.01806640625,0.000394011032309,0.0691993098716,-0.0109937755234,6457.77787954,2234.14461715,6424.39618439,5.21227342443,70,13.6762518315,17341.4873224,13.6762518315,17341.4873224,852283.053696,7.568359375,6.69362273374,227.101915843,6.348325528438876,2.6498256963085334,1269,MaxxTurn45/1539952189.0838616,994
13.7358170235,22.6172988489,0.0,2.22412109375,4.36157226563,5.89904785156,7.61840820312,13.1945800781,100.0,5.89904785156,0.000370919881306,0.0719245323744,-0.0126735180834,8070.31443365,2478.39660276,7841.8627064,5.29823973959,258,13.7358170235,18502.1455306,13.7358170235,18502.1455306,943378.111348,7.70416259766,6.76549503853,239.042423341,6.179067159915306,2.6536058402376943,1348,MaxxTurn45/1539867240.4088647,760
13.8867122122,22.2980321502,0.0,2.36450195312,4.32739257812,6.201171875,7.77099609375,14.5959472656,100.0,6.201171875,0.000382555470543,0.0830439286832,-0.0165863751912,10497.8968359,3600.23214416,9544.70918886,5.46564782701,548,13.8867122122,18136.0461491,13.8867122122,18136.0461491,901389.016844,8.13903808594,6.79422297688,221.340138619,6.288573347256115,2.6467130209915792,1307,MaxxTurn45/1539952996.7378776,1003
14.8473312866,22.9933683173,0.0,3.18603515625,5.283203125,7.01599121094,8.51928710938,14.5361328125,100.0,7.01599121094,0.000380517503805,0.0748747262055,-0.012472581197,8385.04986682,3003.28621597,8045.91042755,5.49279508443,550,14.8473312866,19494.5459793,14.8473312866,19494.5459793,983838.943057,8.01086425781,6.70563690185,252.95065436,5.64564227818458,2.5520567043786713,1314,MaxxTurn45/1539930046.1094997,835
13.8180294552,22.4194047396,0.0,2.41455078125,4.37133789062,6.18286132812,7.64526367187,13.9038085938,100.0,6.18286132812,0.0003861003861,0.0767293485544,-0.0119511789756,8598.44358629,2860.6037822,8474.46418623,5.39325514056,38,13.8180294552,17880.5301151,13.8180294552,17880.5301151,897667.473033,7.91320800781,6.81149364877,234.573559503,6.331892360500177,2.667113559226197,1295,MaxxTurn45/1539935086.584245,862
13.6295077828,21.7258791014,0.0,2.58666992188,4.49584960938,6.18286132812,7.9248046875,12.8747558594,100.0,6.18286132812,0.000380228136882,0.0846283528442,-0.022037204724,11095.160719,3477.31319881,10235.7342437,5.19417525282,146,13.6295077828,17909.1732266,13.6295077828,17909.1732266,864505.142421,7.65075683594,6.71240242725,188.854554214,6.268534916810809,2.6424118474768497,1315,MaxxTurn45/1539849646.9578729,633
12.9019807025,21.2485522891,0.0,1.826171875,3.837890625,5.55114746094,7.25830078125,12.1435546875,100.0,5.55114746094,0.000381097560976,0.0700667007013,-0.0143610387351,7155.2535328,2033.86598841,6825.05023447,5.55161414217,657,12.9019807025,16914.4967009,12.9019807025,16914.4967009,810314.748548,7.82165527344,6.72193997193,191.466894621,6.795194728327607,2.7214598302381146,1312,MaxxTurn45/1539789180.8189752,550
13.1937348378,22.0041144467,0.0,1.70654296875,3.9794921875,5.82275390625,7.52319335938,12.1655273438,100.0,5.82275390625,0.000367917586461,0.0719898179762,-0.00477992915242,8230.91647033,2233.28599962,8838.53536517,5.56518777088,382,13.1937348378,17917.0919097,13.1937348378,17917.0919097,894085.303769,7.90100097656,6.81231265295,225.362331265,6.660349192007152,2.713696495631992,1359,MaxxTurn45/1539845981.8048153,581
7.70005610951,15.1993009232,0.0,0.067138671875,0.894775390625,2.28881835938,4.84741210937,9.43359375,100.0,2.28881835938,0.000877192982456,0.0962869590132,-0.0148786622652,2455.33351016,786.607464229,2628.06265333,3.35268629124,373,7.70005610951,4381.33192631,7.70005610951,4381.33192631,165245.460458,8.06579589844,5.57730132072,123.297189084,17.350869870593936,3.8570489346107553,570
14.1784341578,22.6406238807,0.0,2.59765625,4.79370117188,6.37817382812,7.9248046875,13.1372070313,100.0,6.37817382812,0.000381970970206,0.0776140101711,-0.0151375779115,9033.81979573,2977.05491789,8412.80254455,5.18512616701,655,14.1784341578,18545.3918783,14.1784341578,18545.3918783,933623.633087,7.53173828125,6.72990959322,204.205388963,5.7149572149811565,2.5637749473667473,1309,MaxxTurn45/1539846898.8558867,612
13.7241641224,21.9810557783,0.0,2.32421875,4.52392578125,6.33544921875,7.73193359375,12.8723144531,100.0,6.33544921875,0.000383141762452,0.083907081948,-0.0200080121761,10709.8070586,3182.85320979,10637.08656,5.57423685669,776,13.7241641224,17896.3100156,13.7241641224,17896.3100156,875849.772841,7.763671875,6.76344349425,200.533288588,5.884217981420596,2.5935881438254063,1305,MaxxTurn45/1539788742.5597947,544
13.9655182802,22.1481913316,0.0,2.46337890625,4.72412109375,6.42700195312,7.939453125,14.2297363281,100.0,6.42700195312,0.000268240343348,0.0694687573657,-0.00696761965363,14927.8486674,5138.07456789,14185.2875867,5.48827054153,951,13.9655182802,26017.7605559,13.9655182802,26017.7605559,1277426.99891,7.72705078125,6.97680543076,213.12531682,6.087670574710968,2.612773883717465,1864,MaxxTurn45/1539775289.401106,418
13.8965813598,22.4523763356,0.0,2.36083984375,4.38110351563,6.06079101562,7.92846679688,13.0395507812,100.0,6.06079101562,0.000381970970206,0.0718206508975,-0.00794327206171,7547.00783657,2634.3947358,7500.89556895,5.32086245411,504,13.8965813598,18176.7284186,13.8965813598,18176.7284186,912162.337974,7.4462890625,6.69050625906,223.195913068,5.961358226137648,2.598857913894766,1309,MaxxTurn45/1539785330.3479466,511
13.862087393,22.215513501,0.0,2.35717773438,4.4189453125,6.21337890625,8.0078125,13.5595703125,100.0,6.21337890625,0.000272182906914,0.0748371642211,-0.0153727168377,17090.745516,5631.66785276,16333.7815564,5.4565987412,936,13.862087393,25450.7924536,13.862087393,25450.7924536,1259112.58433,7.71484375,6.92093858459,190.155754648,5.933597238842095,2.5889147028415755,1837,MaxxTurn45/1539779647.7070727,448
13.7592161691,22.4658410243,0.0,2.51708984375,4.28344726563,6.01196289062,7.55859375,12.4328613281,100.0,6.01196289062,0.0003808073115,0.0735390295761,-0.0108683158041,8028.77175549,2786.17275201,7593.02846958,5.06748805153,252,13.7592161691,18052.0916139,13.7592161691,18052.0916139,910756.731816,7.37915039062,6.72553357686,228.500188461,5.987627745957525,2.61926470118857,1313,MaxxTurn45/1539864243.8894439,724
14.411122996,23.0066710683,0.0,2.54760742188,4.36279296875,6.26220703125,7.89184570312,13.9990234375,100.0,6.26220703125,0.000372300819062,0.0795349376156,-0.0210774488429,10089.2881985,3321.62102303,9346.89093825,5.26656793927,642,14.411122996,19339.7270606,14.411122996,19339.7270606,989244.743958,7.8857421875,6.76753071174,200.68169349,5.377150029022147,2.504090073821516,1343,MaxxTurn45/1539788212.9184132,538
13.413966198,21.456332893,0.03662109375,2.47680664063,4.16748046875,5.99365234375,7.82592773438,12.8247070313,100.0,5.99365234375,0.000385208012327,0.0765706750754,-0.012517295798,8600.21754884,2729.56472179,8103.69829681,5.24846976766,725,13.413966198,17397.9141588,13.413966198,17397.9141588,830660.331845,7.49969482422,6.73703212384,219.675215287,6.298563241207148,2.6382736064936965,1298,MaxxTurn45/1539784573.107643,502
14.0449855639,22.8477029025,0.0,2.33642578125,4.4970703125,6.05163574219,7.69165039062,14.2663574219,100.0,6.05163574219,0.000388198757764,0.0754940500329,-0.0182935811644,8186.19278236,2772.42191353,7648.57897256,5.32538699701,258,14.0449855639,18075.8964207,14.0449855639,18075.8964207,925909.524336,7.64617919922,6.76051043772,237.594473241,5.741577857916637,2.573927717414052,1288,MaxxTurn45/1539785111.3025906,508
14.5586826213,22.3906119817,0.0,3.0419921875,5.29174804688,7.12890625,8.46923828125,15.029296875,100.0,7.12890625,0.000418410041841,0.0720248696137,-0.0110953096365,6228.85773343,1915.84641878,6064.94535707,5.5923350283,138,14.5586826213,17383.0670498,14.5586826213,17383.0670498,851885.880269,7.90100097656,6.69874658146,229.282773003,6.265625136545127,2.6354749226851664,1195,MaxxTurn45/1539843032.6787276,563
13.7134302442,22.2694039679,0.0244140625,2.36572265625,4.24438476563,6.005859375,7.73193359375,13.4533691406,100.0,6.005859375,0.000389408099689,0.0740686903175,-0.010025366802,7779.20599505,2771.44744085,6987.68159171,5.40682876927,889,13.7134302442,17594.3310033,13.7134302442,17594.3310033,877740.200087,7.79571533203,6.71448080931,175.222840058,6.153860107564634,2.635119093850428,1284,MaxxTurn45/1539951131.9031782,982
13.1737811749,21.5877883842,0.0,2.43286132812,4.2822265625,5.90515136719,7.51586914062,12.0422363281,100.0,5.90515136719,0.000384615384615,0.0776454682828,-0.0135446204794,8909.48244019,2837.33164633,8265.51676912,5.12630710927,269,13.1737811749,17112.7417462,13.1737811749,17112.7417462,830989.420488,7.49053955078,6.72028901944,217.66296956,6.755881482821183,2.732326447933175,1300,MaxxTurn45/1539869632.805362,781
12.9754671113,21.322593444,0.03662109375,2.13623046875,4.03076171875,5.89599609375,7.67333984375,12.0886230469,100.0,5.89599609375,0.000379650721336,0.0751023888867,-0.0156443720307,8485.70798957,2397.641774,8384.84715901,5.17607708121,143,12.9754671113,17075.7147184,12.9754671113,17075.7147184,820057.073869,7.33642578125,6.69547009611,201.346688747,6.773273524370982,2.733532999639192,1317,MaxxTurn45/1539954521.26221,1021
13.7834371488,22.1731296638,0.0,2.34741210938,4.35791015625,6.28662109375,7.81860351562,13.0444335938,100.0,6.28662109375,0.000390930414386,0.0754613679081,-0.0137631722631,8055.2773298,2786.71545792,7723.00191607,5.54708959927,478,13.7834371488,17615.2326761,13.7834371488,17615.2326761,871314.169466,7.96203613281,6.67937628996,210.402540433,5.943252839906583,2.5983076832082994,1279,MaxxTurn45/1539948750.4873638,955
13.018070485,21.1962314722,0.0244140625,2.5146484375,4.384765625,6.01806640625,7.783203125,12.2814941406,100.0,6.01806640625,0.000397772474145,0.0772893279733,-0.018384272216,8201.43699476,2545.63796927,8241.30202247,5.1579789096,450,13.018070485,16350.6965291,13.018070485,16350.6965291,777319.957204,7.373046875,6.79099362081,206.221680598,7.347258058623689,2.822472591642411,1257,MaxxTurn45/1539789482.7455406,553
13.4411241108,22.1353962484,0.0,2.0068359375,4.013671875,5.7861328125,7.46826171875,13.0261230469,100.0,5.7861328125,0.000389105058366,0.0710139828196,-0.00915277645041,7058.80825329,2390.01541817,6495.49499273,5.43850056959,643,13.4411241108,17258.4033583,13.4411241108,17258.4033583,861281.890236,7.72094726562,6.75293500096,234.392063877,6.188160759634913,2.6403846735598506,1285,MaxxTurn45/1539874020.3838706,832
14.0756697309,22.0499609963,0.0,2.4853515625,4.71435546875,6.45751953125,7.958984375,14.7521972656,100.0,6.45751953125,0.000394321766562,0.0835459923847,-0.0178881215249,9978.32438925,3103.94226202,9594.09903547,5.57876139959,38,14.0756697309,17833.873549,14.0756697309,17833.873549,867238.226756,8.02459716797,6.7027950224,201.647949944,5.776173282865301,2.5567343095516297,1268,MaxxTurn45/1539953538.7255042,1009
13.9649327498,22.3143841393,0.0,2.48413085938,4.453125,6.09741210938,7.50122070312,13.5400390625,100.0,6.09741210938,0.000383729854183,0.0759801692477,-0.0112310628832,8518.25999644,3046.48323775,7758.24242226,5.23942068185,77,13.9649327498,18182.3424403,13.9649327498,18182.3424403,902417.33361,7.62939453125,6.71159016337,202.577617155,5.6351128368048204,2.5405249814385193,1303,MaxxTurn45/1539940147.177461,916
13.8751177837,22.5102618814,0.006103515625,2.33154296875,4.46166992188,6.34155273438,7.7392578125,13.5498046875,100.0,6.34155273438,0.000270124257158,0.0779420534333,-0.0190449382305,18994.0479732,6624.17664252,17370.350174,5.40230422637,933,13.8751177837,25668.9678998,13.8751177837,25668.9678998,1293769.46833,7.6416015625,6.97373687508,180.332052579,6.07570545359223,2.625998449298363,1851,MaxxTurn45/1539777050.611705,433
