trace:id;time_calling;time_done
MaxxTurn45/1539768640.7809675;2018-10-17T11:30:46.000+02:00;2018-10-17T11:39:44.000+02:00
MaxxTurn45/1539954277.731383;2018-10-19T15:04:42.919+02:00;2018-10-19T15:08:27.737+02:00
MaxxTurn45/1539788961.5123823;2018-10-17T17:09:26.000+02:00;2018-10-17T17:12:57.000+02:00
MaxxTurn45/1539954521.26221;2018-10-19T15:08:46.730+02:00;2018-10-19T15:12:22.533+02:00
MaxxTurn45/1539776780.647135;2018-10-17T13:46:26.000+02:00;2018-10-17T13:50:43.000+02:00
MaxxTurn45/1539852241.4985137;2018-10-18T10:44:07.089+02:00;2018-10-18T10:47:54.568+02:00
MaxxTurn45/1539947793.8222756;2018-10-19T13:16:38.967+02:00;2018-10-19T13:20:13.247+02:00
MaxxTurn45/1539861754.4920955;2018-10-18T13:22:40.355+02:00;2018-10-18T13:26:35.814+02:00
MaxxTurn45/1539848138.8273041;2018-10-18T09:35:45.020+02:00;2018-10-18T09:39:11.474+02:00
MaxxTurn45/1539785550.775644;2018-10-17T16:12:36.000+02:00;2018-10-17T16:16:13.000+02:00
MaxxTurn45/1539874020.3838706;2018-10-18T16:47:05.795+02:00;2018-10-18T16:50:40.958+02:00
MaxxTurn45/1539789482.7455406;2018-10-17T17:18:08.000+02:00;2018-10-17T17:21:34.000+02:00
MaxxTurn45/1539781839.2845745;2018-10-17T15:10:45.000+02:00;2018-10-17T15:14:16.000+02:00
MaxxTurn45/1539777050.611705;2018-10-17T13:50:56.000+02:00;2018-10-17T14:04:56.000+02:00
MaxxTurn45/1539939406.3814805;2018-10-19T10:56:51.971+02:00;2018-10-19T11:00:41.502+02:00
MaxxTurn45/1539872383.8493233;2018-10-18T16:19:50.271+02:00;2018-10-18T16:23:26.641+02:00
MaxxTurn45/1539782803.8778186;2018-10-17T15:26:49.000+02:00;2018-10-17T15:30:35.000+02:00
MaxxTurn45/1539767836.4780653;2018-10-17T11:17:22.000+02:00;2018-10-17T11:21:03.000+02:00
MaxxTurn45/1539788212.9184132;2018-10-17T16:56:58.000+02:00;2018-10-17T17:00:48.000+02:00
MaxxTurn45/1539864948.1786497;2018-10-18T14:15:54.105+02:00;2018-10-18T14:20:41.886+02:00
MaxxTurn45/1539869168.3061485;2018-10-18T15:26:13.369+02:00;2018-10-18T15:29:44.019+02:00
MaxxTurn45/1539774881.2323961;2018-10-17T13:14:48.000+02:00;2018-10-17T13:18:14.000+02:00
MaxxTurn45/1539941069.607354;2018-10-19T11:24:36.143+02:00;2018-10-19T11:29:05.993+02:00
MaxxTurn45/1539850152.1883683;2018-10-18T10:09:17.665+02:00;2018-10-18T10:16:31.315+02:00
MaxxTurn45/1539949020.0393448;2018-10-19T13:37:05.247+02:00;2018-10-19T13:40:56.696+02:00
MaxxTurn45/1539768171.92729;2018-10-17T11:22:58.000+02:00;2018-10-17T11:26:25.000+02:00
MaxxTurn45/1539873107.7412717;2018-10-18T16:31:53.445+02:00;2018-10-18T16:35:26.971+02:00
MaxxTurn45/1539867009.0027378;2018-10-18T14:50:15.571+02:00;2018-10-18T14:53:47.325+02:00
MaxxTurn45/1539788742.5597947;2018-10-17T17:05:48.000+02:00;2018-10-17T17:09:14.000+02:00
MaxxTurn45/1539870594.5451405;2018-10-18T15:50:00.677+02:00;2018-10-18T15:54:02.283+02:00
MaxxTurn45/1539949816.1102145;2018-10-19T13:50:21.444+02:00;2018-10-19T13:53:52.774+02:00
MaxxTurn45/1539938110.608032;2018-10-19T10:35:16.160+02:00;2018-10-19T10:38:51.974+02:00
MaxxTurn45/1539864243.8894439;2018-10-18T14:04:09.928+02:00;2018-10-18T14:07:41.235+02:00
MaxxTurn45/1539936410.9095924;2018-10-19T10:06:56.832+02:00;2018-10-19T10:10:33.907+02:00
MaxxTurn45/1539844445.483183;2018-10-18T08:34:12.380+02:00;2018-10-18T08:37:50.959+02:00
MaxxTurn45/1539865495.732754;2018-10-18T14:25:01.430+02:00;2018-10-18T14:28:31.940+02:00
MaxxTurn45/1539786140.0293653;2018-10-17T16:22:26.000+02:00;2018-10-17T16:26:02.000+02:00
MaxxTurn45/1539947011.7082918;2018-10-19T13:03:37.154+02:00;2018-10-19T13:08:01.197+02:00
MaxxTurn45/1539775289.401106;2018-10-17T13:21:35.000+02:00;2018-10-17T13:25:13.000+02:00
MaxxTurn45/1539780158.398311;2018-10-17T14:42:43.000+02:00;2018-10-17T14:46:50.000+02:00
MaxxTurn45/1539934738.9239945;2018-10-19T09:39:05.511+02:00;2018-10-19T09:42:56.380+02:00
MaxxTurn45/1539860232.9746199;2018-10-18T12:57:18.859+02:00;2018-10-18T13:00:52.637+02:00
MaxxTurn45/1539787752.9819348;2018-10-17T16:49:18.000+02:00;2018-10-17T16:52:46.000+02:00
MaxxTurn45/1539873336.5023072;2018-10-18T16:35:42.057+02:00;2018-10-18T16:39:14.419+02:00
MaxxTurn45/1539933500.4822576;2018-10-19T09:18:25.845+02:00;2018-10-19T09:22:05.324+02:00
MaxxTurn45/1539776535.7446442;2018-10-17T13:42:21.000+02:00;2018-10-17T13:46:02.000+02:00
MaxxTurn45/1539939667.1389508;2018-10-19T11:01:12.868+02:00;2018-10-19T11:04:52.692+02:00
MaxxTurn45/1539938886.8533099;2018-10-19T10:48:12.657+02:00;2018-10-19T10:52:35.387+02:00
MaxxTurn45/1539865256.587621;2018-10-18T14:21:02.623+02:00;2018-10-18T14:24:42.673+02:00
MaxxTurn45/1539950787.6893477;2018-10-19T14:06:33.059+02:00;2018-10-19T14:10:18.442+02:00
MaxxTurn45/1539850602.9188108;2018-10-18T10:16:48.353+02:00;2018-10-18T10:20:25.079+02:00
MaxxTurn45/1539843317.8462138;2018-10-18T08:15:23.250+02:00;2018-10-18T08:20:44.982+02:00
MaxxTurn45/1539932555.679447;2018-10-19T09:02:41.118+02:00;2018-10-19T09:06:51.938+02:00
MaxxTurn45/1539787210.2165296;2018-10-17T16:40:15.000+02:00;2018-10-17T16:44:02.000+02:00
MaxxTurn45/1539932283.1509993;2018-10-19T08:58:08.672+02:00;2018-10-19T09:02:03.331+02:00
MaxxTurn45/1539778830.473645;2018-10-17T14:20:36.000+02:00;2018-10-17T14:24:17.000+02:00
MaxxTurn45/1539782347.9170697;2018-10-17T15:19:13.000+02:00;2018-10-17T15:22:41.000+02:00
MaxxTurn45/1539773400.081768;2018-10-17T12:50:05.000+02:00;2018-10-17T12:55:00.000+02:00
MaxxTurn45/1539872864.8581455;2018-10-18T16:27:50.600+02:00;2018-10-18T16:31:30.705+02:00
MaxxTurn45/1539784573.107643;2018-10-17T15:56:19.000+02:00;2018-10-17T15:59:56.000+02:00
MaxxTurn45/1539862997.7963278;2018-10-18T13:43:23.292+02:00;2018-10-18T13:46:55.123+02:00
MaxxTurn45/1539939170.7213504;2018-10-19T10:52:56.368+02:00;2018-10-19T10:56:32.071+02:00
MaxxTurn45/1539872129.8354397;2018-10-18T16:15:35.541+02:00;2018-10-18T16:19:33.004+02:00
MaxxTurn45/1539868902.5611076;2018-10-18T15:21:47.748+02:00;2018-10-18T15:25:53.436+02:00
MaxxTurn45/1539937394.4538643;2018-10-19T10:23:21.325+02:00;2018-10-19T10:27:17.985+02:00
MaxxTurn45/1539782568.4848485;2018-10-17T15:22:53.000+02:00;2018-10-17T15:26:28.000+02:00
MaxxTurn45/1539776293.4380772;2018-10-17T13:38:20.000+02:00;2018-10-17T13:41:47.000+02:00
MaxxTurn45/1539951131.9031782;2018-10-19T14:12:17.168+02:00;2018-10-19T14:16:18.168+02:00
MaxxTurn45/1539849905.2950788;2018-10-18T10:05:10.722+02:00;2018-10-18T10:08:58.408+02:00
MaxxTurn45/1539871118.8928962;2018-10-18T15:58:44.835+02:00;2018-10-18T16:02:28.104+02:00
MaxxTurn45/1539940381.9306014;2018-10-19T11:13:08.601+02:00;2018-10-19T11:18:02.406+02:00
MaxxTurn45/1539846534.119446;2018-10-18T09:08:59.998+02:00;2018-10-18T09:13:42.457+02:00
MaxxTurn45/1539933743.6987958;2018-10-19T09:22:29.772+02:00;2018-10-19T09:26:31.347+02:00
MaxxTurn45/1539785111.3025906;2018-10-17T16:05:17.000+02:00;2018-10-17T16:08:44.000+02:00
MaxxTurn45/1539843032.6787276;2018-10-18T08:10:39.142+02:00;2018-10-18T08:14:03.321+02:00
MaxxTurn45/1539941365.9103549;2018-10-19T12:54:35.314+02:00;2018-10-19T12:54:37.431+02:00
MaxxTurn45/1539870859.9381595;2018-10-18T15:54:26.363+02:00;2018-10-18T15:58:27.162+02:00
MaxxTurn45/1539869396.9930165;2018-10-18T15:30:02.932+02:00;2018-10-18T15:33:36.438+02:00
MaxxTurn45/1539845981.8048153;2018-10-18T08:59:48.097+02:00;2018-10-18T09:03:50.549+02:00
MaxxTurn45/1539870331.951634;2018-10-18T15:45:38.267+02:00;2018-10-18T15:49:19.801+02:00
MaxxTurn45/1539768405.0772216;2018-10-17T11:26:50.000+02:00;2018-10-17T11:30:24.000+02:00
MaxxTurn45/1539873566.4213674;2018-10-18T16:39:32.621+02:00;2018-10-18T16:43:04.525+02:00
MaxxTurn45/1539860624.3439968;2018-10-18T13:03:49.780+02:00;2018-10-18T13:07:21.684+02:00
MaxxTurn45/1539862764.7881565;2018-10-18T13:39:30.136+02:00;2018-10-18T13:43:04.810+02:00
MaxxTurn45/1539867478.8608363;2018-10-18T14:58:05.134+02:00;2018-10-18T15:01:34.690+02:00
MaxxTurn45/1539864473.3160963;2018-10-18T14:07:58.689+02:00;2018-10-18T14:11:31.080+02:00
MaxxTurn45/1539782062.694547;2018-10-17T15:14:27.000+02:00;2018-10-17T15:18:48.000+02:00
MaxxTurn45/1539849142.707625;2018-10-18T09:52:28.331+02:00;2018-10-18T09:55:53.430+02:00
MaxxTurn45/1539953538.7255042;2018-10-19T14:52:23.791+02:00;2018-10-19T14:56:10.636+02:00
MaxxTurn45/1539846898.8558867;2018-10-18T09:15:04.343+02:00;2018-10-18T09:18:38.047+02:00
MaxxTurn45/1539769191.682508;2018-10-17T11:39:57.000+02:00;2018-10-17T11:45:10.000+02:00
MaxxTurn45/1539855558.0707247;2018-10-18T11:39:23.530+02:00;2018-10-18T11:42:49.481+02:00
MaxxTurn45/1539853715.9218073;2018-10-18T11:08:41.767+02:00;2018-10-18T11:12:13.837+02:00
MaxxTurn45/1539873794.130889;2018-10-18T16:43:19.973+02:00;2018-10-18T16:46:49.403+02:00
MaxxTurn45/1539869632.805362;2018-10-18T15:33:58.476+02:00;2018-10-18T15:40:37.315+02:00
MaxxTurn45/1539780906.367151;2018-10-17T14:55:13.000+02:00;2018-10-17T14:58:50.000+02:00
MaxxTurn45/1539941365.9103549;2018-10-19T12:53:26.225+02:00;2018-10-19T12:53:29.282+02:00
MaxxTurn45/1539870048.0117655;2018-10-18T15:40:53.192+02:00;2018-10-18T15:45:07.625+02:00
MaxxTurn45/1539871593.6375291;2018-10-18T16:06:39.862+02:00;2018-10-18T16:10:22.515+02:00
MaxxTurn45/1539848388.604168;2018-10-18T09:39:54.455+02:00;2018-10-18T09:43:18.345+02:00
MaxxTurn45/1539940813.8529766;2018-10-19T11:20:19.611+02:00;2018-10-19T11:24:15.980+02:00
MaxxTurn45/1539951397.8529685;2018-10-19T14:16:42.773+02:00;2018-10-19T14:20:58.381+02:00
MaxxTurn45/1539948292.2670896;2018-10-19T13:24:57.647+02:00;2018-10-19T13:29:38.014+02:00
MaxxTurn45/1539777913.114158;2018-10-17T14:05:22.000+02:00;2018-10-17T14:20:21.000+02:00
MaxxTurn45/1539950288.373055;2018-10-19T13:58:13.698+02:00;2018-10-19T14:01:50.368+02:00
MaxxTurn45/1539937875.6607707;2018-10-19T10:31:21.614+02:00;2018-10-19T10:34:57.678+02:00
MaxxTurn45/1539787985.9778118;2018-10-17T16:53:12.000+02:00;2018-10-17T16:56:42.000+02:00
MaxxTurn45/1539950052.0751345;2018-10-19T13:54:17.283+02:00;2018-10-19T13:57:55.409+02:00
MaxxTurn45/1539779920.3811874;2018-10-17T14:38:45.000+02:00;2018-10-17T14:42:22.000+02:00
MaxxTurn45/1539937648.5074499;2018-10-19T10:27:34.077+02:00;2018-10-19T10:31:06.564+02:00
MaxxTurn45/1539784344.802912;2018-10-17T15:52:30.000+02:00;2018-10-17T15:55:57.000+02:00
MaxxTurn45/1539781148.953433;2018-10-17T14:59:14.000+02:00;2018-10-17T15:02:51.000+02:00
MaxxTurn45/1539946744.5776465;2018-10-19T12:59:09.905+02:00;2018-10-19T13:03:18.448+02:00
MaxxTurn45/1539953786.2703774;2018-10-19T14:56:31.486+02:00;2018-10-19T15:00:10.432+02:00
MaxxTurn45/1539784112.0106728;2018-10-17T15:48:37.000+02:00;2018-10-17T15:52:04.000+02:00
