"trace:id";"qr";"status";"comment";"manual_measure1";"manual_measure2";"manual_measure3";"ZylinderB_Durchmesser_status";"ZylinderB_Durchmesser";"ZylinderB_Zylinderform_status";"ZylinderB_Zylinderform";"Kreis1_MitteZ_status";"Kreis1_MitteZ";"Kreis1_Durchmesser_status";"Kreis1_Durchmesser";"Kreis2_MitteZ_status";"Kreis2_MitteZ";"Kreis2_Durchmesser_status";"Kreis2_Durchmesser";"Distanz_status";"Distanz"
MaxxTurn45/1539950787.6893477;107;ok;NULL;4.53;19.18;15.19;ok;0.7319999999999889;ok;0.4625000000000002;ok;0.5916666666666716;ok;0.37;ok;0.6660000000000016;ok;0.4749999999999983;ok;0.8100000000000069
MaxxTurn45/1539953786.2703774;118;nok;NULL;4.53;19.18;15.19;ok;0.7080000000000451;ok;0.46300000000000013;nok;1.333333333333284;ok;0.33999999999999997;ok;0.6679999999999968;ok;0.4759999999999982;ok;0.7350000000000039
MaxxTurn45/1539853960.610241;006;nok;NULL;4.525;19.17;15.18;ok;0.3540000000000226;ok;0.4635000000000001;nok;-6.3416666666663755;ok;0.38;ok;0.26400000000002044;ok;0.4744999999999995;ok;0.5130000000000052
MaxxTurn45/1539872129.8354397;051;nok;NULL;4.53;19.17;15.17;ok;0.5779999999999947;ok;0.464;nok;1.016666666666627;ok;0.4;ok;0.5120000000000073;ok;0.4744999999999995;ok;0.7480000000000002
MaxxTurn45/1539780158.398311;142;ok;NULL;4.532;19.17;15.18;ok;0.36599999999999444;ok;0.464;ok;0.2750000000000148;ok;0.35000000000000003;ok;0.34800000000003667;ok;0.4749999999999983;ok;0.511000000000001
MaxxTurn45/1539852972.8482218;002;ok;NULL;4.53;19.17;15.18;ok;0.42400000000000054;ok;0.46300000000000013;ok;0.04166666666671601;ok;0.38;ok;0.3520000000000273;ok;0.47549999999999937;ok;0.5480000000000038
MaxxTurn45/1539864243.8894439;023;ok;NULL;4.53;19.17;15.18;ok;0.3840000000000233;ok;0.46300000000000013;ok;0.2250000000000592;ok;0.32;ok;0.32000000000003126;ok;0.4744999999999995;ok;0.5510000000000057
MaxxTurn45/1539951943.5310912;111;nok;NULL;4.53;19.17;15.18;ok;0.7480000000000224;ok;0.46449999999999997;nok;1.266666666666627;ok;0.38;ok;0.6379999999999961;ok;0.47649999999999926;ok;0.7749999999999996
MaxxTurn45/1539855082.6318893;008;nok;NULL;4.546;19.16;15.17;ok;0.3280000000000125;ok;0.46149999999999974;nok;-6.133333333333091;ok;0.33;ok;0.2600000000000298;ok;0.47299999999999853;ok;0.5440000000000041
MaxxTurn45/1539849905.2950788;194;ok;NULL;4.534;19.17;15.17;ok;0.4640000000000489;ok;0.4635000000000001;ok;0.15833333333332839;ok;0.38;ok;0.3760000000000421;ok;0.4759999999999982;ok;0.5700000000000058
MaxxTurn45/1539935337.7276201;070;ok;NULL;4.53;19.18;15.17;ok;0.6600000000000157;ok;0.4625000000000002;ok;0.10000000000005921;ok;0.37;ok;0.5940000000000283;ok;0.4749999999999983;ok;0.6980000000000011
MaxxTurn45/1539949270.0858183;101;ok;NULL;4.53;19.18;15.19;ok;0.7660000000000513;ok;0.4625000000000002;ok;0.6333333333333135;ok;0.37;ok;0.6840000000000304;ok;0.4744999999999995;ok;0.7510000000000021
MaxxTurn45/1539938624.131296;081;ok;NULL;4.53;19.18;15.17;ok;0.6360000000000009;ok;0.4635000000000001;ok;0.8416666666666716;ok;0.38999999999999996;ok;0.5620000000000323;ok;0.4734999999999996;ok;0.7170000000000013
MaxxTurn45/1539777050.611705;135;ok;NULL;4.532;19.17;15.17;ok;0.4259999999999959;ok;0.4635000000000001;ok;0.2166666666666716;ok;0.37;ok;0.3620000000000038;ok;0.47549999999999937;ok;0.5539999999999987
MaxxTurn45/1539951397.8529685;109;ok;NULL;4.53;19.18;15.18;ok;0.726000000000003;ok;0.46300000000000013;ok;0.5166666666667012;ok;0.38;ok;0.6300000000000149;ok;0.4749999999999983;ok;0.743000000000003
MaxxTurn45/1539935587.837271;071;ok;NULL;4.53;19.18;15.16;ok;0.6719999999999875;ok;0.4625000000000002;ok;0.2833333333333284;ok;0.37;ok;0.6060000000000001;ok;0.4744999999999995;ok;0.6799999999999986
MaxxTurn45/1539862020.776538;014;ok;NULL;4.53;19.17;15.18;ok;0.4879999999999926;ok;0.46300000000000013;ok;0.5;ok;0.37;ok;0.42200000000000526;ok;0.4749999999999983;ok;0.6180000000000008
MaxxTurn45/1539870331.951634;044;ok;NULL;4.53;19.17;15.17;ok;0.6079999999999954;ok;0.4635000000000001;ok;0.9333333333333432;ok;0.36;ok;0.5280000000000409;ok;0.4744999999999995;ok;0.648000000000002
MaxxTurn45/1539868643.7235901;038;ok;NULL;4.53;19.17;15.2;ok;0.5960000000000236;ok;0.4619999999999997;ok;0.9333333333333432;ok;0.38;ok;0.5020000000000309;ok;0.47649999999999926;ok;0.7029999999999983
MaxxTurn45/1539932555.679447;062;nok;tool correction;4.54;19.19;15.16;ok;0.8060000000000286;ok;0.46300000000000013;nok;1.5249999999999408;ok;0.37;ok;0.7339999999999842;ok;0.4744999999999995;ok;0.704000000000005
MaxxTurn45/1539846534.119446;185;ok;NULL;4.536;19.17;15.17;ok;0.547999999999994;ok;0.4649999999999999;ok;0.04166666666671601;ok;0.4;ok;0.4660000000000442;ok;0.47649999999999926;ok;0.5490000000000015
