Axis/X/aaLoad_mean,Axis/X/aaLoad_std,Axis/X/aaLoad_min,Axis/X/aaLoad_20%,Axis/X/aaLoad_40%,Axis/X/aaLoad_50%,Axis/X/aaLoad_60%,Axis/X/aaLoad_80%,Axis/X/aaLoad_max,Axis/X/aaLoad_median,Axis/X/aaLoad_acfmean,Axis/X/aaLoad_acfstd,Axis/X/aaLoad_acfmedian,Axis/X/aaLoad_qstatmean,Axis/X/aaLoad_qstatstd,Axis/X/aaLoad_qstatmedian,Axis/X/aaLoad_mda,Axis/X/aaLoad_max_index,Axis/X/aaLoad_sma_sim,Axis/X/aaLoad_sma_adv,Axis/X/aaLoad_sma_sim_abs,Axis/X/aaLoad_sma_adv_abs,Axis/X/aaLoad_energy,Axis/X/aaLoad_iqr,Axis/X/aaLoad_entropy,Axis/X/aaLoad_autoreg_coeff,Axis/X/aaLoad_kurtosis,Axis/X/aaLoad_skewness,Axis/X/aaLoad_length,Axis/Y/aaLoad_mean,Axis/Y/aaLoad_std,Axis/Y/aaLoad_min,Axis/Y/aaLoad_20%,Axis/Y/aaLoad_40%,Axis/Y/aaLoad_50%,Axis/Y/aaLoad_60%,Axis/Y/aaLoad_80%,Axis/Y/aaLoad_max,Axis/Y/aaLoad_median,Axis/Y/aaLoad_acfmean,Axis/Y/aaLoad_acfstd,Axis/Y/aaLoad_acfmedian,Axis/Y/aaLoad_qstatmean,Axis/Y/aaLoad_qstatstd,Axis/Y/aaLoad_qstatmedian,Axis/Y/aaLoad_mda,Axis/Y/aaLoad_max_index,Axis/Y/aaLoad_sma_sim,Axis/Y/aaLoad_sma_adv,Axis/Y/aaLoad_sma_sim_abs,Axis/Y/aaLoad_sma_adv_abs,Axis/Y/aaLoad_energy,Axis/Y/aaLoad_iqr,Axis/Y/aaLoad_entropy,Axis/Y/aaLoad_autoreg_coeff,Axis/Y/aaLoad_kurtosis,Axis/Y/aaLoad_skewness,Axis/Y/aaLoad_length,Axis/Z/aaLoad_mean,Axis/Z/aaLoad_std,Axis/Z/aaLoad_min,Axis/Z/aaLoad_20%,Axis/Z/aaLoad_40%,Axis/Z/aaLoad_50%,Axis/Z/aaLoad_60%,Axis/Z/aaLoad_80%,Axis/Z/aaLoad_max,Axis/Z/aaLoad_median,Axis/Z/aaLoad_acfmean,Axis/Z/aaLoad_acfstd,Axis/Z/aaLoad_acfmedian,Axis/Z/aaLoad_qstatmean,Axis/Z/aaLoad_qstatstd,Axis/Z/aaLoad_qstatmedian,Axis/Z/aaLoad_mda,Axis/Z/aaLoad_max_index,Axis/Z/aaLoad_sma_sim,Axis/Z/aaLoad_sma_adv,Axis/Z/aaLoad_sma_sim_abs,Axis/Z/aaLoad_sma_adv_abs,Axis/Z/aaLoad_energy,Axis/Z/aaLoad_iqr,Axis/Z/aaLoad_entropy,Axis/Z/aaLoad_autoreg_coeff,Axis/Z/aaLoad_kurtosis,Axis/Z/aaLoad_skewness,Axis/Z/aaLoad_length,trace:id,qr
16.6661203084,5.35050081954,0.98876953125,12.6306152344,15.7629394531,16.2078857422,16.6198730469,20.0695800781,60.4614257812,16.2078857422,0.000370919881306,0.0661641709887,0.00160593986114,6621.69656038,2814.05652974,6353.68540175,4.93627630734,1006,16.6661203084,22449.2640555,16.6661203084,22449.2640555,412981.621251,6.62384033203,6.61398582242,32.8391380976,19.009834563461922,3.180944686427613,1348,2.21982674364,5.99687920297,0.0,0.189208984375,0.501708984375,0.750732421875,0.93994140625,2.73681640625,68.6340332031,0.750732421875,0.000417014178482,0.037489517954,-0.00494018440555,823.804184848,505.193575131,840.30267923,0.850614065793,604,2.21982674364,2659.35243888,2.21982674364,2659.35243888,48991.3763851,1.65100097656,5.82255442099,38.0458968002,56.695097562714906,6.959206845859779,1199,13.7420041676,22.413283131,0.0,2.29248046875,4.28955078125,5.99975585938,7.87963867188,13.3752441406,100.0,5.99975585938,0.000371747211896,0.0762383601064,-0.0132502364402,9190.29184423,3082.54005569,8420.60558863,5.4475496554,662,13.7420041676,18469.2536013,13.7420041676,18469.2536013,929158.873037,7.7880859375,6.69343574388,211.204652394,5.852435004336064,2.592226540607857,1345,MaxxTurn45/1539950787.6893477,979
16.8067815471,5.13442457429,3.30810546875,13.2409667969,15.7934570313,16.1743164062,16.5649414062,19.9340820312,59.2590332031,16.1743164062,0.000382262996942,0.075534416069,0.00345299952386,8472.89919163,3439.73028207,8370.15984899,4.12638312768,1152,16.8067815471,21966.4634821,16.8067815471,21966.4634821,403923.567645,5.66558837891,6.6216324316,23.8835155979,16.401292757391268,2.902951888104792,1308,2.17001816781,5.773353,0.0,0.225830078125,0.57373046875,0.72021484375,0.93994140625,2.74658203125,69.2993164062,0.72021484375,0.00043630017452,0.0386068055501,-0.00568100805235,813.855168489,501.974827942,827.040190996,0.83251589418,582,2.17001816781,2484.67080214,2.17001816781,2484.67080214,43561.1773282,1.65863037109,5.82095392945,35.2547152795,65.5952666250928,7.502210312519687,1146,13.6675679909,21.9273759173,0.0,2.50854492188,4.4482421875,6.40869140625,7.71118164062,13.1872558594,100.0,6.40869140625,0.000377358490566,0.0797524103187,-0.0123607276088,9864.10985246,3006.70326574,9564.27074942,5.26656793927,830,13.6675679909,18095.8600199,13.6675679909,18095.8600199,884105.394147,7.53173828125,6.75521277876,180.640812143,6.320915747568147,2.653062203232171,1325,MaxxTurn45/1539934495.453325,856
16.742926476,4.93872299335,1.09252929688,12.7807617188,15.966796875,16.3696289062,16.796875,20.0744628906,62.7746582031,16.3696289062,0.000372856077554,0.0842440360216,-0.00421025076421,11447.3249381,4645.61664527,11173.525896,4.82316273476,1314,16.742926476,22435.5214778,16.742926476,22435.5214778,408600.531779,6.53076171875,6.62546711342,24.7155422759,16.32127525957839,2.5358078688233183,1341,2.22310555081,5.87445342363,0.0,0.23193359375,0.604248046875,0.79345703125,0.985107421875,2.85766601563,65.9362792969,0.79345703125,0.000420168067227,0.0375520068232,-0.00566211502262,809.204558465,505.21367085,776.583440657,0.882285866115,662,2.22310555081,2643.27249992,2.22310555081,2643.27249992,46912.6583636,1.65405273438,5.88297212572,36.0326792169,60.261877318857145,7.251542967609091,1190,13.3184613138,21.7014709502,0.0,2.32666015625,4.31518554688,6.18591308594,7.71484375,12.48046875,100.0,6.18591308594,0.000374812593703,0.0783565843288,-0.0149020630432,9613.87465864,3509.44841875,9133.91406152,5.34800971153,140,13.3184613138,17753.5089313,13.3184613138,17753.5089313,864408.273883,7.58972167969,6.72776244963,211.172356748,6.844346789169336,2.7357643588573843,1334,MaxxTurn45/1539871593.6375291,802
17.0194430932,5.80723547138,0.457763671875,13.2202148438,15.7836914062,16.2292480469,16.7053222656,19.9829101562,83.4289550781,16.2292480469,0.000378501135503,0.0641324265146,-0.00195739982462,5869.8583561,2336.49477071,5529.35849569,4.18067764251,1010,17.0194430932,22465.6648831,17.0194430932,22465.6648831,427158.425115,5.82275390625,6.6508444513,38.3955792715,30.67138622989168,4.130731408863551,1321,2.31785357977,6.67001770149,0.0,0.20751953125,0.555419921875,0.653076171875,0.885009765625,2.763671875,70.9716796875,0.653076171875,0.000432152117545,0.0391610491083,-0.00660360026967,898.511472571,604.975396583,820.00129247,0.769172293536,1022,2.31785357977,2679.43873822,2.31785357977,2679.43873822,57645.3604922,1.75170898438,5.79086310547,45.8783971909,55.37268072194695,7.048729524246192,1157,13.8989522785,22.3462736018,0.0,2.3681640625,4.43725585938,6.21337890625,7.83081054688,13.8366699219,100.0,6.21337890625,0.000374251497006,0.0742164325266,-0.0107071205483,8514.68915077,3034.26555149,8428.19545374,5.43397602669,365,13.8989522785,18555.1012919,13.8989522785,18555.1012919,924729.833342,7.90863037109,6.79286569687,240.00096598,5.945383673332598,2.5958758855908983,1336,MaxxTurn45/1539936672.1011436,874
16.7498176481,4.75679208266,0.506591796875,13.3361816406,15.8264160156,16.3452148438,16.7419433594,19.8669433594,59.4055175781,16.3452148438,0.000385802469136,0.0775427403052,0.00306777896851,8823.96807902,3663.03874146,8597.80353898,4.11733404187,985,16.7498176481,21691.0138542,16.7498176481,21691.0138542,392903.139889,5.55725097656,6.61904970914,23.311004985,19.4201321057978,2.840533416695833,1296,2.17528116933,5.65150281229,0.0,0.225830078125,0.518798828125,0.750732421875,0.96435546875,2.890625,68.4326171875,0.750732421875,0.000439367311072,0.0386694450001,-0.00462879396102,800.870487977,457.537566251,834.034494219,0.859663151599,1026,2.17528116933,2473.29468953,2.17528116933,2473.29468953,41700.036563,1.64794921875,5.81924003092,33.8305366036,65.31335133238015,7.317238471686083,1138,13.0704324123,21.5255380114,0.0,2.26440429688,4.30908203125,5.79223632812,7.24487304688,12.4572753906,100.0,5.79223632812,0.000384319754035,0.0767853674856,-0.0164006085234,8698.84110231,2787.06653183,8235.97091252,5.08558622315,1173,13.0704324123,16991.5621359,13.0704324123,16991.5621359,824611.323364,7.43408203125,6.73593660956,202.585305101,6.800752560881824,2.7385702941612857,1301,MaxxTurn45/1539939907.386454,913
16.032409668,3.32454477109,11.6149902344,14.4384765625,16.3586425781,16.4154052734,16.4721679688,17.7795410156,19.6838378906,16.4154052734,0.125,0.54210087338,-0.00677075974969,1.90394742143,2.6801742897,0.014875241653,2.49302313964,3,16.032409668,48.0972290039,16.032409668,48.0972290039,1061.31043285,2.15911865234,1.38629436112,10.5877066025,-0.9676684581895416,-0.3915802380569825,4,21.5490722656,26.8182616762,0.030517578125,5.32836914062,7.32299804688,7.76977539062,15.6140136719,35.0866699219,65.9118652344,7.76977539062,0.1,0.503884641905,-0.0436171371075,2.79561329022,0.452535538015,2.84865167819,11.4742408024,1,21.5490722656,86.1962890625,21.5490722656,86.1962890625,5198.68921489,20.7275390625,1.60943791243,1014.73918222,-0.47831236036370806,1.0378709973675948,5,1.08991350446,2.64420296549,0.06103515625,0.069580078125,0.089111328125,0.103759765625,0.107421875,0.11962890625,7.08618164062,0.103759765625,0.0714285714286,0.380722516356,-0.0756693406609,0.528798132827,0.684461533995,0.220293011312,0.0361963432252,0,1.08991350446,6.53948102679,1.08991350446,6.53948102679,50.2662360668,0.042724609375,1.94591014906,7.17784145874,2.1659801493478943,2.0409261593510224,7,MaxxTurn45/1539773400.081768,409
16.818325829,5.29627836401,0.57373046875,13.1823730469,15.7629394531,16.2536621094,16.6711425781,19.9743652344,59.6008300781,16.2536621094,0.000381679389313,0.0709535627163,0.00151931569452,7346.59629501,3293.34272821,6928.79174439,4.3028403009,24,16.818325829,22015.1885101,16.818325829,22015.1885101,407259.658575,5.96313476562,6.61279646645,28.6535178546,18.198841359611144,3.060870104239675,1310,2.32451596467,6.26528635156,0.0,0.213623046875,0.567626953125,0.7568359375,0.96435546875,2.9345703125,69.0185546875,0.7568359375,0.000434782608696,0.0388267429725,-0.00542137922591,846.143368484,536.959246894,779.613363163,0.84608952289,79,2.32451596467,2670.86884341,2.32451596467,2670.86884341,51316.5118545,1.80511474609,5.82405837762,40.9052073521,60.615516719647694,7.184971191461364,1150,13.5026174924,22.1978258268,0.0,2.34619140625,4.33227539063,5.90209960938,7.42431640625,13.1945800781,100.0,5.90209960938,0.0003808073115,0.08520384835,-0.0192249540748,11228.3564856,3405.77494731,11149.2490714,5.10368439476,735,13.5026174924,17715.4341501,13.5026174924,17715.4341501,885866.486244,7.44018554688,6.70992768723,204.294580544,6.323745895005089,2.6686553690035493,1313,MaxxTurn45/1539864473.3160963,727
16.7146479892,5.36635577369,0.335693359375,12.8002929688,15.8203125,16.2353515625,16.6296386719,19.9951171875,84.2346191406,16.2353515625,0.000382555470543,0.0698956094757,0.00125783611734,7054.8917974,2799.27860728,6864.43853187,4.7326718767,986,16.7146479892,21829.3302739,16.7146479892,21829.3302739,402758.844048,6.23168945312,6.60444100617,27.1908068403,35.71374754186434,4.003668915671206,1307,2.28688956526,6.05516609839,0.0,0.2197265625,0.5810546875,0.76904296875,0.963134765625,2.95654296875,71.044921875,0.76904296875,0.000425894378194,0.0379492548885,-0.00382815839086,813.24319467,371.122060529,868.70941988,0.855138608696,644,2.28688956526,2682.52146004,2.28688956526,2682.52146004,49147.9479894,1.86309814453,5.86986632277,39.3092424397,64.9133412914033,7.420373292087858,1174,14.031429686,22.3648528663,0.0,2.5732421875,4.55932617188,6.34155273438,8.04321289062,13.9770507813,100.0,6.34155273438,0.000383729854183,0.0799697072458,-0.0185702012136,9577.01627765,2989.38011172,9303.54583324,5.36610788314,41,14.031429686,18268.9214512,14.031429686,18268.9214512,907778.977938,7.89489746094,6.70014701011,226.175016025,6.085836921634412,2.6147573606822347,1303,MaxxTurn45/1539852972.8482218,660
16.6920861257,5.7063952397,0.982666015625,12.0690917969,15.9753417969,16.3757324219,16.7700195312,20.0866699219,76.66015625,16.3757324219,0.0003885003885,0.0842487502651,-0.000565336528811,10494.3362557,4241.96713537,10093.8365387,5.10368439476,963,16.6920861257,21466.0227576,16.6920861257,21466.0227576,400467.275754,7.17163085938,6.62850536655,32.3696436088,22.07101880693759,3.252425121003151,1287,2.02691195536,5.45234421243,0.0,0.186767578125,0.49560546875,0.775146484375,1.00708007812,2.74291992188,70.0256347656,0.775146484375,0.000433275563258,0.0388689433718,-0.00533432532316,860.432509403,462.641752033,866.369921039,0.895859494825,1041,2.02691195536,2337.02948453,2.02691195536,2337.02948453,39017.511569,1.67694091797,5.81067082608,31.0763226024,80.72471035584346,8.227445000951315,1154,13.3456865699,21.6126542491,0.0,2.43286132813,4.28466796875,6.23168945312,8.01635742187,12.6501464844,100.0,6.23168945312,0.000389711613406,0.0761785315508,-0.0121741191511,8289.13417579,2780.2996857,8188.9804646,5.3118133683,31,13.3456865699,17109.1701826,13.3456865699,17109.1701826,827342.678048,7.40966796875,6.64649540865,194.913037812,6.553516292807624,2.6977862485820956,1283,MaxxTurn45/1539786140.0293653,520
16.8172184688,5.34660794865,1.18408203125,13.212890625,15.8703613281,16.3208007812,16.69921875,19.8400878906,67.6818847656,16.3208007812,0.000389105058366,0.0646394075341,-0.000541660826305,5627.60377796,2537.11667888,5132.08646189,4.23497215735,1016,16.8172184688,21593.308514,16.8172184688,21593.308514,400126.907639,5.70678710938,6.58113181439,32.2605355641,26.112480215931257,3.668232233755927,1285,2.31835007018,6.35950987222,0.0,0.25634765625,0.58837890625,0.762939453125,0.96435546875,2.900390625,69.8547363281,0.762939453125,0.000453720508167,0.0397892646437,-0.00677209861895,823.113623977,687.503839933,604.979895004,0.83251589418,73,2.31835007018,2552.50342727,2.31835007018,2552.50342727,50451.1170089,2.03552246094,5.82023945431,42.9731678226,59.698648154008055,7.225740613986655,1102,13.7403783747,21.9986512695,0.0,2.4365234375,4.365234375,6.12182617188,7.69409179688,13.7548828125,100.0,6.12182617188,0.000385505011565,0.0687588270236,-0.0117385575743,6671.76606691,2238.30568887,6665.25455716,5.3027642825,73,13.7403783747,17807.5303736,13.7403783747,17807.5303736,872058.095597,7.666015625,6.71322015518,221.716584099,6.292086944680543,2.636843750028911,1297,MaxxTurn45/1539952189.0838616,994
